Summary,Issue Type,Story Points,Component,Description,Acceptance Criteria,Implementation Summary,Commits
"Host-data fan-out workers, STOMP recovery, and idle provider teardown",Story,13,host-data,"Improve streaming reliability and performance: fan-out SharedWorkers, STOMP reconnect/recovery, blotter hardening, idle provider teardown, and columnar snapshots.","Multiple consumers fan out from workers without duplicate connections; STOMP reconnects and recovers cleanly; idle providers are torn down to free memory; snapshots default to columnar; no lifecycle leaks remain.","Added fan-out workers, STOMP recovery and blotter hardening; added idle provider teardown and streaming performance fixes; defaulted snapshots to columnar; ran memory audits and fixed lifecycle leaks.","f79041e5,6d96cb08,49c39a4b,3ed96863,677c8278,2955798d"
"Consolidate host-config into a single ConfigManager + provider persistence",Story,8,host-config,"Collapse the config service layer into one ConfigManager and persist provider selection together with profiles.","A single ConfigManager replaces the prior service split; selecting a provider persists with its profile (with OCC retry + co-save); behaviour is unchanged for consumers.","Collapsed the config service into one ConfigManager and persisted provider selection with profiles via OCC retry + co-save.","768c9358,d38c8f57,3ced678c"
"Config Browser: backup-gated Reset to seed",Story,3,config-browser,"Add a Reset to seed action to the Config Browser, gated behind a backup so users can't lose config accidentally.","Reset to seed restores seed config only after a backup is taken; action is clearly labelled and reversible via the backup.","Added the backup-gated Reset to seed action.","9400da89,f0678114,d9020d00"
"Light theme retuned to VS Code Light Modern",Story,3,design-system,"Retune the design-system light theme surfaces to match VS Code's Light Modern palette for a more familiar, refined light mode.","Light-mode surfaces match the Light Modern reference; all surfaces remain token-driven; dark mode unaffected.","Retuned light theme surfaces to the VS Code Light Modern palette.","b67af3fa,f1e653a1"
"Consolidate accent colour to canonical cyan",Story,2,design-system,"Consolidate the accent colour to a single canonical cyan and retire the legacy --highlight token.","All accent usage resolves to the canonical cyan token; --highlight is removed with no orphaned references.","Consolidated accent to canonical cyan and retired --highlight.","f279eb89"
"Dark-mode AG Grid theming: selected-row tint and shared colour params",Story,3,design-system,"Improve dark-mode AG Grid theming with a selected-row tint and shared grid colour params, and hide the column-resize handle in both themes.","Selected rows show a subtle dark-mode tint; AG Grid uses shared design-system colour params in dark mode; column-resize handle is hidden in both themes; snapshot tests updated.","Added the dark-mode selected-row tint (#73BBF626), applied shared grid colour params in AG Grid dark mode, hid the resize handle in both themes, and updated the agGrid params snapshot.","6b055bcc,3d44850c,a291463b,e03255df"
"OpenFin dark-mode chrome perceptibility and theme sync",Story,3,openfin-platform,"Improve OpenFin dark-mode chrome: lighten the header for perceptibility, distinguish window borders, and sync tool-window theme with the dock toggle.","Dark-mode chrome header is perceptibly lighter; window borders are distinguishable; tool windows re-theme when the dock toggle flips.","Lightened the dark-mode chrome header, distinguished dark-mode window borders, and synced tool-window theme with the dock toggle.","15f7deab,21990eb4,42638d7a"
"Bind MarketsGrid caption to the OpenFin tab name",Story,2,marketsgrid,"Bind the grid caption to the OpenFin tab name and apply toolbar UX polish.","Grid caption reflects the OpenFin tab name and updates with it; toolbar UX polish applied.","Bound the caption to the OpenFin tab name and polished the toolbar.","1f2a47c9"
"Build apps from source and harden the monorepo",Story,8,build,"Switch apps to build from source (drop tarball deps), exclude Angular from the pipeline, stabilise dependency ranges, and add lint/CI guardrails with boundary fixes and god-object decomposition.","Apps build/typecheck from package source with no @wellsfargo-starui tarball deps; Angular is excluded from build/typecheck/test/propagate; dependency ranges are stable; lint/CI guardrails enforce import boundaries; oversized god-objects are decomposed.","Moved apps to source builds and dropped tarball deps (Angular excluded), pinned stable dep ranges with standalone propagate, removed the stockflux demo, and hardened the monorepo with lint/CI guardrails, boundary fixes and god-object decomposition.","6e71b3de,3c4be91d,f1713025,380847d1"
"Stomp view server: high-frequency randomized ticks",Story,3,stomp-view-server,"Make the STOMP view server emit realistic high-frequency ticks by randomizing currentPrice and pnl per tick, defaulting to 20k high-frequency.","Server randomizes currentPrice and pnl on each live tick; defaults to 20k high-frequency with a checked-in .env.","Randomized currentPrice + pnl per live tick and defaulted to 20k high-frequency with a checked-in .env.","73d3c96c,bdea0951,97a0c5d0"
"Fix: layout-selector captions truncating to one character",Bug,2,grid,"Grid layout-selector captions were truncating to a single character.","Layout-selector captions render in full without truncation.","Stopped the layout-selector captions truncating to one character.","56e7b61f,86f995e0"
"Fix: align row selection with AG Grid 35 checkbox-less mode",Bug,3,grid,"Row selection was misaligned after the AG Grid 35 move to checkbox-less selection mode.","Row selection behaves correctly under AG Grid 35 checkbox-less mode.","Aligned row selection with AG Grid 35 checkbox-less mode.","78c2529e"
"Fix: pin Playwright to 1.59.x and stop ViewMenu staying open",Bug,2,grid,"Playwright version drift and the ViewMenu remaining open after selection caused e2e flakiness.","Playwright is pinned to 1.59.x; the ViewMenu closes after a selection; affected e2e specs pass.","Pinned Playwright to 1.59.x and stopped the ViewMenu keeping its menu open.","fc441e3f"
"Fix: Auto Format right-aligning text columns via Soundex collision",Bug,2,engine,"A Soundex collision caused Auto Format to right-align text columns as if numeric.","Text columns are no longer right-aligned by Auto Format; numeric detection is not triggered by Soundex collisions.","Stopped Auto Format right-aligning text columns via the Soundex collision.","8aea1e3f"
"Fix: infer date fields as dateString cellDataType",Bug,1,provider-editor,"Date fields were not being inferred with the dateString cellDataType in the provider editor.","Inferred date fields are assigned the dateString cellDataType.","Inferred date fields as dateString cellDataType.","f660f901"
"Fix: Config Browser primary/danger button foregrounds",Bug,1,config-browser,"Primary and danger buttons in the Config Browser had incorrect (white) foreground colours.","Primary and danger buttons use the correct token-driven foreground colours.","Corrected the primary/danger button foreground (was white).","74a24108"
"Fix: dock-editor token aliases fully design-system derived",Bug,2,engine,"Dock-editor token aliases were not 100% derived from the design system.","All dock-editor token aliases resolve from design-system tokens.","Made the dock-editor token aliases 100% design-system derived.","1f384890"
"Fix: align demo apps with current design-system token vocabulary",Bug,2,demos,"Demo apps used outdated design-system token names.","Demo apps reference the current token vocabulary with no orphaned token names.","Aligned demo apps with the current design-system token vocabulary.","a57f49ca"
"Fix: theme mode shared so dock panels re-theme on toggle",Bug,3,design-system-demo,"Dock panels and grids did not re-theme when the theme toggle flipped.","Toggling the theme re-themes all dock panels and grids immediately.","Shared theme mode so dock panels re-theme on toggle and made grids inherit data-ag-theme-mode from <html>.","b673a228,233b31c3"
"Fix: Risk KPIs dock panel height and Orders badge clipping",Bug,2,design-system-demo,"The Risk KPIs dock panel was too short and Orders status badge borders were clipping in AG Grid.","Risk KPIs panel has enough height to render its KPIs; Orders status badge borders are not clipped in AG Grid.","Gave the Risk KPIs dock panel enough height and stopped the Orders status badge borders clipping in AG Grid.","96dd9bd1,4f693385"
"Fix: Design System right pane scrollable in dock panel",Bug,1,design-system-demo,"The Design System right pane did not scroll when docked.","The Design System right pane scrolls within its dock panel.","Made the Design System right pane scrollable in the dock panel.","f0172fd6"
"Fix: assorted FI demo correctness (P&L waterfall, OAS distribution, tokens, testids)",Bug,3,design-system-demo,"Several FI demo correctness issues: incorrect OAS distribution and P&L waterfall, an invalid font-family syntax, as-any style casts, fragile testids, and a risk progress track not using a token.","Per-issuer OAS distribution and a true waterfall P&L render correctly; font-family syntax is valid; as-any style casts removed; testids are robust and correct; risk progress track uses --ds-primary-soft.","Fixed per-issuer OAS distribution, true waterfall P&L and font-family syntax; corrected float-* testids and dropped as-any casts with a robust Save; pointed the risk progress track at --ds-primary-soft; fixed valid tokens + issuer in the order-book header; corrected the PriceChartWidget testid.","3e1563dd,affa495a,4d06da0b,037a1c9f,4c9b306d"
